row_id,customer_uuid,purchase_year,rating,age,income,region,is_churned,outcome,signup_date,zip_code,notes,score,int_as_string
32,a1b2c3d4-e5f6-7890-abcd-000000000020,2020,3,50,46408.0,North,False,win,2022-02-01,10032,ref-0032: customer note entry number 32,3.88,132
33,a1b2c3d4-e5f6-7890-abcd-000000000021,2021,4,51,46920.75,South,False,loss,2022-02-02,10033,ref-0033: customer note entry number 33,3.97,133
34,a1b2c3d4-e5f6-7890-abcd-000000000022,2022,5,52,47433.5,East,False,win,2022-02-03,10034,ref-0034: customer note entry number 34,4.06,134
35,a1b2c3d4-e5f6-7890-abcd-000000000023,2018,1,53,47946.25,West,True,win,2022-02-04,10035,ref-0035: customer note entry number 35,4.15,135
36,a1b2c3d4-e5f6-7890-abcd-000000000024,2019,2,54,48459.0,North,False,loss,2022-02-05,10036,ref-0036: customer note entry number 36,4.24,136
37,a1b2c3d4-e5f6-7890-abcd-000000000025,2020,3,55,48971.75,South,False,win,2022-02-06,10037,ref-0037: customer note entry number 37,4.33,137
38,a1b2c3d4-e5f6-7890-abcd-000000000026,2021,4,56,49484.5,East,False,win,2022-02-07,10038,ref-0038: customer note entry number 38,4.42,138
39,a1b2c3d4-e5f6-7890-abcd-000000000027,2022,5,57,49997.25,West,False,loss,2022-02-08,10039,ref-0039: customer note entry number 39,4.51,139
40,a1b2c3d4-e5f6-7890-abcd-000000000028,2018,1,58,50510.0,North,True,win,2022-02-09,10040,ref-0040: customer note entry number 40,4.6,140
41,a1b2c3d4-e5f6-7890-abcd-000000000029,2019,2,59,51022.75,South,False,win,2022-02-10,10041,ref-0041: customer note entry number 41,4.69,141
42,a1b2c3d4-e5f6-7890-abcd-00000000002a,2020,3,60,51535.5,East,False,loss,2022-02-11,10042,ref-0042: customer note entry number 42,4.78,142
43,a1b2c3d4-e5f6-7890-abcd-00000000002b,2021,4,61,52048.25,West,False,win,2022-02-12,10043,ref-0043: customer note entry number 43,4.87,143
44,a1b2c3d4-e5f6-7890-abcd-00000000002c,2022,5,62,52561.0,North,False,win,2022-02-13,10044,ref-0044: customer note entry number 44,4.96,144
45,a1b2c3d4-e5f6-7890-abcd-00000000002d,2018,1,63,53073.75,South,True,loss,2022-02-14,10045,ref-0045: customer note entry number 45,5.05,145
46,a1b2c3d4-e5f6-7890-abcd-00000000002e,2019,2,64,53586.5,East,False,win,2022-02-15,10046,ref-0046: customer note entry number 46,5.14,146
47,a1b2c3d4-e5f6-7890-abcd-00000000002f,2020,3,65,54099.25,West,False,win,2022-02-16,10047,ref-0047: customer note entry number 47,5.23,147
48,a1b2c3d4-e5f6-7890-abcd-000000000030,2021,4,66,54612.0,North,False,loss,2022-02-17,10048,ref-0048: customer note entry number 48,5.32,148
49,a1b2c3d4-e5f6-7890-abcd-000000000031,2022,5,67,55124.75,South,False,win,2022-02-18,10049,ref-0049: customer note entry number 49,5.41,149
50,a1b2c3d4-e5f6-7890-abcd-000000000032,2018,1,68,55637.5,East,True,win,2022-02-19,10050,ref-0050: customer note entry number 50,5.5,150
51,a1b2c3d4-e5f6-7890-abcd-000000000033,2019,2,69,56150.25,West,False,loss,2022-02-20,10051,ref-0051: customer note entry number 51,5.59,151
52,a1b2c3d4-e5f6-7890-abcd-000000000034,2020,3,70,56663.0,North,False,win,2022-02-21,10052,ref-0052: customer note entry number 52,5.68,152
53,a1b2c3d4-e5f6-7890-abcd-000000000035,2021,4,71,57175.75,South,False,win,2022-02-22,10053,ref-0053: customer note entry number 53,5.77,153
54,a1b2c3d4-e5f6-7890-abcd-000000000036,2022,5,72,57688.5,East,False,loss,2022-02-23,10054,ref-0054: customer note entry number 54,5.86,154
55,a1b2c3d4-e5f6-7890-abcd-000000000037,2018,1,73,58201.25,West,True,win,2022-02-24,10055,ref-0055: customer note entry number 55,5.95,155
56,a1b2c3d4-e5f6-7890-abcd-000000000038,2019,2,74,58714.0,North,False,win,2022-02-25,10056,ref-0056: customer note entry number 56,6.04,156
57,a1b2c3d4-e5f6-7890-abcd-000000000039,2020,3,18,59226.75,South,False,loss,2022-02-26,10057,ref-0057: customer note entry number 57,6.13,157
58,a1b2c3d4-e5f6-7890-abcd-00000000003a,2021,4,19,59739.5,East,False,win,2022-02-27,10058,ref-0058: customer note entry number 58,6.22,158
59,a1b2c3d4-e5f6-7890-abcd-00000000003b,2022,5,20,60252.25,West,False,win,2022-02-28,10059,ref-0059: customer note entry number 59,6.31,159
60,a1b2c3d4-e5f6-7890-abcd-00000000003c,2018,1,21,60765.0,North,True,loss,2022-03-01,10060,ref-0060: customer note entry number 60,6.4,160
61,a1b2c3d4-e5f6-7890-abcd-00000000003d,2019,2,22,61277.75,South,False,win,2022-03-02,10061,ref-0061: customer note entry number 61,6.49,161
62,a1b2c3d4-e5f6-7890-abcd-00000000003e,2020,3,23,61790.5,East,False,win,2022-03-03,10062,ref-0062: customer note entry number 62,6.58,162
63,a1b2c3d4-e5f6-7890-abcd-00000000003f,2021,4,24,62303.25,West,False,loss,2022-03-04,10063,ref-0063: customer note entry number 63,6.67,163
64,a1b2c3d4-e5f6-7890-abcd-000000000040,2022,5,25,62816.0,North,False,win,2022-03-05,10064,ref-0064: customer note entry number 64,6.76,164
65,a1b2c3d4-e5f6-7890-abcd-000000000041,2018,1,26,63328.75,South,True,win,2022-03-06,10065,ref-0065: customer note entry number 65,6.85,165
66,a1b2c3d4-e5f6-7890-abcd-000000000042,2019,2,27,63841.5,East,False,loss,2022-03-07,10066,ref-0066: customer note entry number 66,6.94,166
67,a1b2c3d4-e5f6-7890-abcd-000000000043,2020,3,28,64354.25,West,False,win,2022-03-08,10067,ref-0067: customer note entry number 67,7.03,167
68,a1b2c3d4-e5f6-7890-abcd-000000000044,2021,4,29,64867.0,North,False,win,2022-03-09,10068,ref-0068: customer note entry number 68,7.12,168
69,a1b2c3d4-e5f6-7890-abcd-000000000045,2022,5,30,65379.75,South,False,loss,2022-03-10,10069,ref-0069: customer note entry number 69,7.21,169
70,a1b2c3d4-e5f6-7890-abcd-000000000046,2018,1,31,65892.5,East,True,win,2022-03-11,10070,ref-0070: customer note entry number 70,7.3,170
71,a1b2c3d4-e5f6-7890-abcd-000000000047,2019,2,32,66405.25,West,False,win,2022-03-12,10071,ref-0071: customer note entry number 71,7.39,171
72,a1b2c3d4-e5f6-7890-abcd-000000000048,2020,3,33,66918.0,North,False,loss,2022-03-13,10072,ref-0072: customer note entry number 72,7.48,172
73,a1b2c3d4-e5f6-7890-abcd-000000000049,2021,4,34,67430.75,South,False,win,2022-03-14,10073,ref-0073: customer note entry number 73,7.57,173
74,a1b2c3d4-e5f6-7890-abcd-00000000004a,2022,5,35,67943.5,East,False,win,2022-03-15,10074,ref-0074: customer note entry number 74,7.66,174
75,a1b2c3d4-e5f6-7890-abcd-00000000004b,2018,1,36,68456.25,West,True,loss,2022-03-16,10075,ref-0075: customer note entry number 75,7.75,175
76,a1b2c3d4-e5f6-7890-abcd-00000000004c,2019,2,37,68969.0,North,False,win,2022-03-17,10076,ref-0076: customer note entry number 76,7.84,176
77,a1b2c3d4-e5f6-7890-abcd-00000000004d,2020,3,38,69481.75,South,False,win,2022-03-18,10077,ref-0077: customer note entry number 77,7.93,177
78,a1b2c3d4-e5f6-7890-abcd-00000000004e,2021,4,39,69994.5,East,False,loss,2022-03-19,10078,ref-0078: customer note entry number 78,8.02,178
79,a1b2c3d4-e5f6-7890-abcd-00000000004f,2022,5,40,70507.25,West,False,win,2022-03-20,10079,ref-0079: customer note entry number 79,8.11,179
80,a1b2c3d4-e5f6-7890-abcd-000000000050,2018,1,41,71020.0,North,True,win,2022-03-21,10080,ref-0080: customer note entry number 80,8.2,180
81,a1b2c3d4-e5f6-7890-abcd-000000000051,2019,2,42,71532.75,South,False,loss,2022-03-22,10081,ref-0081: customer note entry number 81,8.29,181
82,a1b2c3d4-e5f6-7890-abcd-000000000052,2020,3,43,72045.5,East,False,win,2022-03-23,10082,ref-0082: customer note entry number 82,8.38,182
83,a1b2c3d4-e5f6-7890-abcd-000000000053,2021,4,44,72558.25,West,False,win,2022-03-24,10083,ref-0083: customer note entry number 83,8.47,183
84,a1b2c3d4-e5f6-7890-abcd-000000000054,2022,5,45,73071.0,North,False,loss,2022-03-25,10084,ref-0084: customer note entry number 84,8.56,184
85,a1b2c3d4-e5f6-7890-abcd-000000000055,2018,1,46,73583.75,South,True,win,2022-03-26,10085,ref-0085: customer note entry number 85,8.65,185
86,a1b2c3d4-e5f6-7890-abcd-000000000056,2019,2,47,74096.5,East,False,win,2022-03-27,10086,ref-0086: customer note entry number 86,8.74,186
87,a1b2c3d4-e5f6-7890-abcd-000000000057,2020,3,48,74609.25,West,False,loss,2022-03-28,10087,ref-0087: customer note entry number 87,8.83,187
88,a1b2c3d4-e5f6-7890-abcd-000000000058,2021,4,49,75122.0,North,False,win,2022-03-29,10088,ref-0088: customer note entry number 88,8.92,188
89,a1b2c3d4-e5f6-7890-abcd-000000000059,2022,5,50,75634.75,South,False,win,2022-03-30,10089,ref-0089: customer note entry number 89,9.01,189
90,a1b2c3d4-e5f6-7890-abcd-00000000005a,2018,1,51,76147.5,East,True,loss,2022-03-31,10090,ref-0090: customer note entry number 90,9.1,190
91,a1b2c3d4-e5f6-7890-abcd-00000000005b,2019,2,52,76660.25,West,False,win,2022-04-01,10091,ref-0091: customer note entry number 91,9.19,191
92,a1b2c3d4-e5f6-7890-abcd-00000000005c,2020,3,53,77173.0,North,False,win,2022-04-02,10092,ref-0092: customer note entry number 92,9.28,192
93,a1b2c3d4-e5f6-7890-abcd-00000000005d,2021,4,54,77685.75,South,False,loss,2022-04-03,10093,ref-0093: customer note entry number 93,9.37,193
94,a1b2c3d4-e5f6-7890-abcd-00000000005e,2022,5,55,78198.5,East,False,win,2022-04-04,10094,ref-0094: customer note entry number 94,9.46,194
95,a1b2c3d4-e5f6-7890-abcd-00000000005f,2018,1,56,78711.25,West,True,win,2022-04-05,10095,ref-0095: customer note entry number 95,9.55,195
96,a1b2c3d4-e5f6-7890-abcd-000000000060,2019,2,57,79224.0,North,False,loss,2022-04-06,10096,ref-0096: customer note entry number 96,9.64,196
97,a1b2c3d4-e5f6-7890-abcd-000000000061,2020,3,58,79736.75,South,False,win,2022-04-07,10097,ref-0097: customer note entry number 97,9.73,197
98,a1b2c3d4-e5f6-7890-abcd-000000000062,2021,4,59,80249.5,East,False,win,2022-04-08,10098,ref-0098: customer note entry number 98,9.82,198
99,a1b2c3d4-e5f6-7890-abcd-000000000063,2022,5,60,80762.25,West,False,loss,2022-04-09,10099,ref-0099: customer note entry number 99,9.91,199
100,a1b2c3d4-e5f6-7890-abcd-000000000064,2018,1,61,81275.0,North,True,win,2022-04-10,10100,ref-0100: customer note entry number 100,10.0,200
